,id_start,id_end,distance,moto,car,rv,bus,truck,start_day,end_day,start_time,end_time
0,1001400,1001402,9.7,6.21,9.31,11.64,17.07,27.94,Monday,Friday,00:00:00,10:00:00
0,1001400,1001402,9.7,9.31,13.97,17.46,25.61,41.9,Thuesday,Saturday,10:00:00,18:00:00
0,1001400,1001402,9.7,6.21,9.31,11.64,17.07,27.94,Wednesday,Sunday,18:00:00,23:59:59
0,1001400,1001402,9.7,5.43,8.15,10.18,14.94,24.44,Saturday,Sunday,00:00:00,23:59:59
1,1001400,1001404,29.9,19.14,28.7,35.88,52.62,86.11,Monday,Friday,00:00:00,10:00:00
1,1001400,1001404,29.9,28.7,43.06,53.82,78.94,129.17,Thuesday,Saturday,10:00:00,18:00:00
1,1001400,1001404,29.9,19.14,28.7,35.88,52.62,86.11,Wednesday,Sunday,18:00:00,23:59:59
1,1001400,1001404,29.9,16.74,25.12,31.39,46.05,75.35,Saturday,Sunday,00:00:00,23:59:59
2,1001400,1001406,45.9,29.38,44.06,55.08,80.78,132.19,Monday,Friday,00:00:00,10:00:00
2,1001400,1001406,45.9,44.06,66.1,82.62,121.18,198.29,Thuesday,Saturday,10:00:00,18:00:00
2,1001400,1001406,45.9,29.38,44.06,55.08,80.78,132.19,Wednesday,Sunday,18:00:00,23:59:59
2,1001400,1001406,45.9,25.7,38.56,48.19,70.69,115.67,Saturday,Sunday,00:00:00,23:59:59
3,1001400,1001408,67.6,43.26,64.9,81.12,118.98,194.69,Monday,Friday,00:00:00,10:00:00
3,1001400,1001408,67.6,64.9,97.34,121.68,178.46,292.03,Thuesday,Saturday,10:00:00,18:00:00
3,1001400,1001408,67.6,43.26,64.9,81.12,118.98,194.69,Wednesday,Sunday,18:00:00,23:59:59
3,1001400,1001408,67.6,37.86,56.78,70.98,104.1,170.35,Saturday,Sunday,00:00:00,23:59:59
4,1001400,1001410,78.69999999999999,50.37,75.55,94.44,138.51,226.66,Monday,Friday,00:00:00,10:00:00
4,1001400,1001410,78.69999999999999,75.55,113.33,141.66,207.77,339.98,Thuesday,Saturday,10:00:00,18:00:00
4,1001400,1001410,78.69999999999999,50.37,75.55,94.44,138.51,226.66,Wednesday,Sunday,18:00:00,23:59:59
4,1001400,1001410,78.69999999999999,44.07,66.11,82.63,121.2,198.32,Saturday,Sunday,00:00:00,23:59:59
5,1001400,1001412,94.29999999999998,60.35,90.53,113.16,165.97,271.58,Monday,Friday,00:00:00,10:00:00
5,1001400,1001412,94.29999999999998,90.53,135.79,169.74,248.95,407.38,Thuesday,Saturday,10:00:00,18:00:00
5,1001400,1001412,94.29999999999998,60.35,90.53,113.16,165.97,271.58,Wednesday,Sunday,18:00:00,23:59:59
5,1001400,1001412,94.29999999999998,52.81,79.21,99.01,145.22,237.64,Saturday,Sunday,00:00:00,23:59:59
6,1001400,1001414,112.49999999999999,72.0,108.0,135.0,198.0,324.0,Monday,Friday,00:00:00,10:00:00
6,1001400,1001414,112.49999999999999,108.0,162.0,202.5,297.0,486.0,Thuesday,Saturday,10:00:00,18:00:00
6,1001400,1001414,112.49999999999999,72.0,108.0,135.0,198.0,324.0,Wednesday,Sunday,18:00:00,23:59:59
6,1001400,1001414,112.49999999999999,63.0,94.5,118.12,173.25,283.5,Saturday,Sunday,00:00:00,23:59:59
7,1001400,1001416,125.69999999999999,80.45,120.67,150.84,221.23,362.02,Monday,Friday,00:00:00,10:00:00
7,1001400,1001416,125.69999999999999,120.67,181.01,226.26,331.85,543.02,Thuesday,Saturday,10:00:00,18:00:00
7,1001400,1001416,125.69999999999999,80.45,120.67,150.84,221.23,362.02,Wednesday,Sunday,18:00:00,23:59:59
7,1001400,1001416,125.69999999999999,70.39,105.59,131.98,193.58,316.76,Saturday,Sunday,00:00:00,23:59:59
8,1001400,1001418,139.29999999999998,89.15,133.73,167.16,245.17,401.18,Monday,Friday,00:00:00,10:00:00
8,1001400,1001418,139.29999999999998,133.73,200.59,250.74,367.75,601.78,Thuesday,Saturday,10:00:00,18:00:00
8,1001400,1001418,139.29999999999998,89.15,133.73,167.16,245.17,401.18,Wednesday,Sunday,18:00:00,23:59:59
8,1001400,1001418,139.29999999999998,78.01,117.01,146.26,214.52,351.04,Saturday,Sunday,00:00:00,23:59:59
9,1001400,1001420,152.2,97.41,146.11,182.64,267.87,438.34,Monday,Friday,00:00:00,10:00:00
9,1001400,1001420,152.2,146.11,219.17,273.96,401.81,657.5,Thuesday,Saturday,10:00:00,18:00:00
9,1001400,1001420,152.2,97.41,146.11,182.64,267.87,438.34,Wednesday,Sunday,18:00:00,23:59:59
9,1001400,1001420,152.2,85.23,127.85,159.81,234.39,383.54,Saturday,Sunday,00:00:00,23:59:59
10,1001400,1001422,161.79999999999998,103.55,155.33,194.16,284.77,465.98,Monday,Friday,00:00:00,10:00:00
10,1001400,1001422,161.79999999999998,155.33,232.99,291.24,427.15,698.98,Thuesday,Saturday,10:00:00,18:00:00
10,1001400,1001422,161.79999999999998,103.55,155.33,194.16,284.77,465.98,Wednesday,Sunday,18:00:00,23:59:59
10,1001400,1001422,161.79999999999998,90.61,135.91,169.89,249.17,407.74,Saturday,Sunday,00:00:00,23:59:59
11,1001400,1001424,173.2,110.85,166.27,207.84,304.83,498.82,Monday,Friday,00:00:00,10:00:00
11,1001400,1001424,173.2,166.27,249.41,311.76,457.25,748.22,Thuesday,Saturday,10:00:00,18:00:00
11,1001400,1001424,173.2,110.85,166.27,207.84,304.83,498.82,Wednesday,Sunday,18:00:00,23:59:59
11,1001400,1001424,173.2,96.99,145.49,181.86,266.73,436.46,Saturday,Sunday,00:00:00,23:59:59
12,1001400,1001426,191.79999999999998,122.75,184.13,230.16,337.57,552.38,Monday,Friday,00:00:00,10:00:00
12,1001400,1001426,191.79999999999998,184.13,276.19,345.24,506.35,828.58,Thuesday,Saturday,10:00:00,18:00:00
12,1001400,1001426,191.79999999999998,122.75,184.13,230.16,337.57,552.38,Wednesday,Sunday,18:00:00,23:59:59
12,1001400,1001426,191.79999999999998,107.41,161.11,201.39,295.37,483.34,Saturday,Sunday,00:00:00,23:59:59
13,1001400,1001428,207.6,132.86,199.3,249.12,365.38,597.89,Monday,Friday,00:00:00,10:00:00
13,1001400,1001428,207.6,199.3,298.94,373.68,548.06,896.83,Thuesday,Saturday,10:00:00,18:00:00
13,1001400,1001428,207.6,132.86,199.3,249.12,365.38,597.89,Wednesday,Sunday,18:00:00,23:59:59
13,1001400,1001428,207.6,116.26,174.38,217.98,319.7,523.15,Saturday,Sunday,00:00:00,23:59:59
14,1001400,1001430,216.2,138.37,207.55,259.44,380.51,622.66,Monday,Friday,00:00:00,10:00:00
14,1001400,1001430,216.2,207.55,311.33,389.16,570.77,933.98,Thuesday,Saturday,10:00:00,18:00:00
14,1001400,1001430,216.2,138.37,207.55,259.44,380.51,622.66,Wednesday,Sunday,18:00:00,23:59:59
14,1001400,1001430,216.2,121.07,181.61,227.01,332.95,544.82,Saturday,Sunday,00:00:00,23:59:59
15,1001400,1001432,225.2,144.13,216.19,270.24,396.35,648.58,Monday,Friday,00:00:00,10:00:00
15,1001400,1001432,225.2,216.19,324.29,405.36,594.53,972.86,Thuesday,Saturday,10:00:00,18:00:00
15,1001400,1001432,225.2,144.13,216.19,270.24,396.35,648.58,Wednesday,Sunday,18:00:00,23:59:59
15,1001400,1001432,225.2,126.11,189.17,236.46,346.81,567.5,Saturday,Sunday,00:00:00,23:59:59
16,1001400,1001434,233.1,149.18,223.78,279.72,410.26,671.33,Monday,Friday,00:00:00,10:00:00
16,1001400,1001434,233.1,223.78,335.66,419.58,615.38,1006.99,Thuesday,Saturday,10:00:00,18:00:00
16,1001400,1001434,233.1,149.18,223.78,279.72,410.26,671.33,Wednesday,Sunday,18:00:00,23:59:59
16,1001400,1001434,233.1,130.54,195.8,244.75,358.97,587.41,Saturday,Sunday,00:00:00,23:59:59
17,1001400,1001436,237.1,151.74,227.62,284.52,417.3,682.85,Monday,Friday,00:00:00,10:00:00
17,1001400,1001436,237.1,227.62,341.42,426.78,625.94,1024.27,Thuesday,Saturday,10:00:00,18:00:00
17,1001400,1001436,237.1,151.74,227.62,284.52,417.3,682.85,Wednesday,Sunday,18:00:00,23:59:59
17,1001400,1001436,237.1,132.78,199.16,248.95,365.13,597.49,Saturday,Sunday,00:00:00,23:59:59
18,1001400,1001436,237.1,151.74,227.62,284.52,417.3,682.85,Monday,Friday,00:00:00,10:00:00
18,1001400,1001436,237.1,227.62,341.42,426.78,625.94,1024.27,Thuesday,Saturday,10:00:00,18:00:00
18,1001400,1001436,237.1,151.74,227.62,284.52,417.3,682.85,Wednesday,Sunday,18:00:00,23:59:59
18,1001400,1001436,237.1,132.78,199.16,248.95,365.13,597.49,Saturday,Sunday,00:00:00,23:59:59
19,1001400,1001438,246.1,157.5,236.26,295.32,433.14,708.77,Monday,Friday,00:00:00,10:00:00
19,1001400,1001438,246.1,236.26,354.38,442.98,649.7,1063.15,Thuesday,Saturday,10:00:00,18:00:00
19,1001400,1001438,246.1,157.5,236.26,295.32,433.14,708.77,Wednesday,Sunday,18:00:00,23:59:59
19,1001400,1001438,246.1,137.82,206.72,258.4,378.99,620.17,Saturday,Sunday,00:00:00,23:59:59
20,1001400,1001438,246.1,157.5,236.26,295.32,433.14,708.77,Monday,Friday,00:00:00,10:00:00
20,1001400,1001438,246.1,236.26,354.38,442.98,649.7,1063.15,Thuesday,Saturday,10:00:00,18:00:00
20,1001400,1001438,246.1,157.5,236.26,295.32,433.14,708.77,Wednesday,Sunday,18:00:00,23:59:59
20,1001400,1001438,246.1,137.82,206.72,258.4,378.99,620.17,Saturday,Sunday,00:00:00,23:59:59
21,1001400,1001440,256.1,163.9,245.86,307.32,450.74,737.57,Monday,Friday,00:00:00,10:00:00
21,1001400,1001440,256.1,245.86,368.78,460.98,676.1,1106.35,Thuesday,Saturday,10:00:00,18:00:00
21,1001400,1001440,256.1,163.9,245.86,307.32,450.74,737.57,Wednesday,Sunday,18:00:00,23:59:59
21,1001400,1001440,256.1,143.42,215.12,268.91,394.39,645.37,Saturday,Sunday,00:00:00,23:59:59
22,1001400,1001442,260.0,166.4,249.6,312.0,457.6,748.8,Monday,Friday,00:00:00,10:00:00
22,1001400,1001442,260.0,249.6,374.4,468.0,686.4,1123.2,Thuesday,Saturday,10:00:00,18:00:00
22,1001400,1001442,260.0,166.4,249.6,312.0,457.6,748.8,Wednesday,Sunday,18:00:00,23:59:59
22,1001400,1001442,260.0,145.6,218.4,273.0,400.4,655.2,Saturday,Sunday,00:00:00,23:59:59
23,1001400,1001488,264.5,169.28,253.92,317.4,465.52,761.76,Monday,Friday,00:00:00,10:00:00
23,1001400,1001488,264.5,253.92,380.88,476.1,698.28,1142.64,Thuesday,Saturday,10:00:00,18:00:00
